,Region,Month,Max Temperature (°C)_mean,Max Temperature (°C)_std,Min Temperature (°C)_mean,Min Temperature (°C)_std,Total Rainfall (mm)_mean,Total Rainfall (mm)_std,Precipitation Hours_mean,Precipitation Hours_std,Max Wind Speed (m/s)_mean,Max Wind Speed (m/s)_std
0,Central,1,25.474193548387095,2.3955432895351496,12.92258064516129,2.5865759561623825,0.4891935483870968,2.534268027583181,0.7983870967741936,2.458713614913522,11.448790322580646,2.405395583600289
1,Central,2,29.297349823321554,2.612606015128971,15.548674911660777,2.5628449912841678,0.24054770318021204,1.311789867548502,0.39045936395759717,1.423301127676054,12.647173144876325,3.011582318797497
2,Central,3,33.468790322580645,3.1193643847653383,19.739032258064515,2.34695492488283,0.4235483870967742,2.1314882748615913,0.5895161290322581,1.8073695732398334,14.174193548387098,3.5955572076388282
3,Central,4,38.0685,2.6482770131569153,24.3715,2.2298438683842194,0.4111666666666667,2.066609835951957,0.47333333333333333,1.4006539914493579,16.599666666666668,4.0105137132252455
4,Central,5,39.90435483870968,2.381714557105055,27.352983870967744,2.2033068647348086,0.3524193548387097,1.3014740397666242,0.4798387096774194,1.2784597692468744,18.2716935483871,3.8727090218886855
5,Central,6,35.30941666666667,4.06773981501994,26.394333333333336,2.1734227360272445,5.257083333333334,8.799542264503447,5.554166666666667,5.997337956451908,17.893083333333333,4.105036027263204
6,Central,7,29.619677419354836,2.0921241743825814,24.101451612903226,0.7862770266604879,13.819596774193549,18.821977223203753,12.721774193548388,6.9905896137117125,17.98524193548387,4.821149783392299
7,Central,8,28.813548387096773,1.7206064991232533,23.512096774193548,0.6250652674286608,12.458306451612902,20.462131251600045,12.07983870967742,6.993081442658817,17.576612903225808,5.0751703597980065
8,Central,9,29.678666666666665,1.550996872089921,23.17525,0.8640915106079823,8.304083333333335,13.248664558454545,8.769166666666667,6.837053194381218,14.04475,4.851001017221087
9,Central,10,30.84790322580645,1.7672112871998127,20.9666935483871,2.1330204090138176,1.503548387096774,4.132411305058659,2.1983870967741934,3.9691149512284776,11.193709677419355,2.9543988744928917
10,Central,11,29.069,1.5734336200661854,17.038,2.314512037786581,0.20725,1.4107290352643944,0.3575,1.4609282436857538,10.624500000000001,2.024572131938501
11,Central,12,26.171048387096775,2.0822523850597308,14.02774193548387,2.6663933673077578,0.36532258064516127,2.0104075615227748,0.7427419354838709,2.5740636778134505,10.965403225806451,2.152827986668996
12,East,1,23.897983870967742,2.0973092563363043,12.764354838709677,2.245040176062409,0.46096774193548384,2.1801347102560262,0.814516129032258,2.597354746133739,12.063225806451612,2.803921914441083
13,East,2,27.857685512367492,2.7115354301977512,15.796643109540636,2.7231361479355383,0.5700530035335689,2.747328183192271,0.7871024734982333,2.320314181401634,13.804416961130741,3.7693360289465363
14,East,3,32.20903225806452,2.7955747680366057,20.134112903225805,2.2659547427692797,0.98,3.3112456305533247,1.0556451612903226,2.3433680577026745,15.918870967741935,4.159774930499041
15,East,4,35.92583333333333,2.927959417767563,24.106666666666666,1.7781074906120882,1.21825,3.3363742911081617,1.1291666666666667,2.1237093461776437,19.088,4.649350379010485
16,East,5,35.619274193548385,2.6203894084869153,25.751854838709676,1.5370716080122238,2.7420967741935485,8.900767227793837,2.083064516129032,3.542111762321339,19.248709677419356,5.302987488436054
17,East,6,34.03575,3.179495362959612,26.609916666666667,1.3811466413907776,6.645,10.181500015956345,6.673333333333333,6.431687489080945,17.840833333333336,4.343805559380348
18,East,7,30.993870967741934,1.6012679961518508,25.59588709677419,0.7568578270445784,11.718145161290323,13.740673928850047,12.67741935483871,6.008203504879996,16.935725806451615,4.916631310997422
19,East,8,30.674032258064514,1.4504056266686183,25.24733870967742,0.6264592458767948,11.917177419354838,14.727585628190639,12.416935483870969,5.8797222486029925,16.093467741935484,5.32152194785103
20,East,9,30.44108333333333,1.5661306028247273,24.863833333333332,0.7478303058932639,9.372666666666667,12.119944562121377,10.204166666666666,6.1892886857621985,14.74825,5.186602577021849
21,East,10,29.95540322580645,1.5963254307951575,22.463306451612905,1.8334913224931593,4.253467741935484,9.878760473787793,4.585483870967742,5.8427277723014726,11.886774193548387,4.45849060236683
22,East,11,27.84825,1.534054073290358,17.994666666666667,2.1512152650647858,0.6774166666666667,3.963912128760394,0.7175,2.2887933254646198,10.7825,3.024885748760703
23,East,12,24.587580645161292,2.05352746590398,14.274274193548386,2.4987712470095875,0.8537096774193549,4.918958304845476,0.8032258064516129,2.8514003115674558,11.295967741935483,2.895793615101333
24,North,1,17.924556451612904,2.3621389519337677,6.627741935483871,2.5261229247173413,1.2820967741935483,4.328014332821637,1.667741935483871,3.938843277846442,11.551290322580645,3.443676565351348
25,North,2,22.10463780918728,3.1329584646759545,9.512809187279153,2.8063224871642434,1.0700971731448763,3.843581558540471,1.3480565371024735,3.221329405843746,13.358568904593639,4.238488592762248
26,North,3,27.333870967741937,4.010153095842149,14.059596774193547,2.9990447024400018,1.3509274193548388,4.616714841988886,1.5790322580645162,3.3891236610136874,15.195443548387097,4.333988368593999
27,North,4,33.465125,3.1995582485423046,19.323708333333332,2.5298403190804466,0.7387916666666666,2.192771006708429,1.02375,2.100466846456122,17.022458333333333,4.432111228874984
28,North,5,35.85100806451613,3.321219711355816,22.849193548387095,2.3840383600024913,1.0662096774193548,3.939257829219589,1.2354838709677418,2.341706708423312,17.527217741935484,4.647776375667101
29,North,6,35.47420833333334,3.3147311257288745,25.257041666666666,2.15559001619026,2.867375,7.2393508220337965,3.123333333333333,4.39563247008807,16.479208333333332,4.726526096987456
30,North,7,31.161451612903225,2.246860422083405,24.57342741935484,1.2558904759387666,9.350766129032257,14.684282895114737,9.460887096774194,6.084191272947127,13.805201612903225,3.77289676723007
31,North,8,30.17217741935484,1.4909418908648813,23.95943548387097,0.8902413485276209,7.265766129032258,10.442993035013128,8.976209677419355,5.754938880085799,13.512338709677419,4.500167875199615
32,North,9,30.213791666666665,1.9016868350552145,22.543708333333335,1.4316684088694371,4.468791666666666,10.6480896250482,5.267083333333334,5.621057237470487,12.952083333333334,4.083249050864318
33,North,10,29.51366935483871,2.1309060029432825,18.082217741935484,2.4380495011549033,0.7272580645161291,4.030079930800074,0.832258064516129,2.5984250438798684,11.416048387096774,2.9741209778963764
34,North,11,25.042541666666665,2.0896007537354837,13.024750000000001,2.318071789764555,0.24291666666666667,1.3185900345547605,0.4045833333333333,1.4469551691485298,10.809416666666667,2.9039973572094895
35,North,12,20.1725,2.5329273262203893,8.278991935483871,2.626755395098601,0.337016129032258,2.0288326888566948,0.5036290322580645,2.0606760911836286,10.556048387096775,2.707043180270155
36,Northeast,1,18.182540322580646,2.050831134420473,7.257943548387097,2.137685257912257,0.6630645161290323,2.1299671171129066,1.6004032258064518,3.4262424864158616,8.66133064516129,2.0867617737270865
37,Northeast,2,20.247128975265017,2.3624855661427335,9.117358657243816,2.4377041378434043,1.4004858657243817,3.723702442540259,2.6453180212014136,4.084717268715277,10.159893992932862,2.9010981196513903
38,Northeast,3,23.693911290322582,2.646337816382255,12.528024193548386,2.2617973601161863,2.4065725806451614,5.515944731290513,3.7592741935483875,4.543287296792769,11.457056451612903,3.384745308384676
39,Northeast,4,25.465833333333332,2.5233403824741107,15.884583333333333,1.715683184385953,5.615583333333333,9.63150789217369,6.50625,5.812640021852181,12.611458333333333,3.8233192570857595
40,Northeast,5,26.006411290322582,2.0845506785624175,18.044032258064515,1.6123399688084041,8.73225806451613,14.09321826529117,9.151209677419354,6.060533467959933,11.446209677419354,3.981243614185464
41,Northeast,6,26.393583333333332,1.6830246018619959,20.383791666666667,0.9840688244529445,14.194666666666667,18.231931758346853,13.367083333333333,5.931413301865091,11.149791666666665,3.6084283249946454
42,Northeast,7,26.45447580645161,1.8259574129369358,20.95741935483871,0.7393138906344947,15.757540322580645,17.502836026709076,14.356854838709676,6.120451695178506,10.789798387096774,3.559448455947441
43,Northeast,8,26.591048387096773,1.5887097710517308,20.891935483870967,0.7591167007363196,11.83008064516129,14.471457286186851,12.509677419354839,6.018224791747438,10.22608870967742,3.3766050632520033
44,Northeast,9,26.325541666666666,1.7691108310818437,20.188208333333336,0.9175264268642744,9.348500000000001,11.519159236579421,10.68375,6.193342038583465,9.202208333333333,3.0019898065327273
45,Northeast,10,24.68149193548387,1.911686493969071,17.27943548387097,2.149585909581139,5.547258064516129,11.879585365405504,6.693145161290323,6.491319972069268,8.372620967741936,2.8097798392026903
46,Northeast,11,22.45104166666667,1.6254535229788232,12.4685,2.2081506703232154,0.8764583333333333,3.791175463099925,1.8116666666666665,4.056697343352748,8.058,2.0185051302102415
47,Northeast,12,19.572782258064517,1.9003974175483829,9.146451612903226,2.3312104467730266,0.7428629032258064,3.6935737075973774,1.4,3.7198944603480246,8.210806451612903,1.874780901801896
48,South,1,28.678655913978492,1.282049698765687,19.5747311827957,1.5746055451564436,0.5546236559139786,2.285735057570975,1.260752688172043,2.878783020703238,15.414892473118279,2.8501143688694817
49,South,2,30.54122497055359,1.5794930864699523,20.32567726737338,1.5449859553270546,0.19899882214369846,0.9802997233823066,0.6148409893992933,1.8038220211296394,16.52025912838634,2.85996032607738
50,South,3,32.37139784946236,1.6226484021082916,22.69290322580645,1.5262423350403636,0.5958602150537634,2.1324965418817405,1.2774193548387098,2.390624621593051,17.485591397849465,3.460966184434606
51,South,4,33.590111111111106,1.5965768305890435,24.836833333333335,1.1688588528684696,1.0582777777777777,2.406547803918519,1.9405555555555558,2.4234551787467002,18.20588888888889,3.4926351442268335
52,South,5,33.36096774193548,1.9272415185199858,25.811559139784947,1.153310298458432,3.8992473118279567,8.57707913304004,4.33010752688172,4.497919728120058,19.03252688172043,4.438831742967015
53,South,6,30.93538888888889,2.090874037242199,24.99788888888889,0.9879081263915168,8.727722222222221,10.707683055919588,9.591666666666667,5.417010535864228,20.546388888888888,4.658451617109512
